Rank,Title,URL,Points,Author,Comment Count,Time Posted
67,The State of Immutable Linux,https://justingarrison.com/blog/state-of-immutable-linux/,32,JustinGarrison,11,22 hours ago
68,Vibe-Coded Ext4 for OpenBSD,https://lwn.net/SubscriberLink/1064541/1a399d572a046fb9/,71,corbet,58,19 hours ago
69,Can It Resolve DOOM? Game Engine in 2k DNS Records,https://core-jmp.org/2026/03/can-it-resolve-doom-game-engine-in-2000-dns-records/,49,Einenlum,2,20 hours ago
70,Fear and denial in Silicon Valley over social media addiction trial,https://www.bbc.com/news/articles/c86e3eglv2go,135,1659447091,192,12 hours ago
71,$500 GPU outperforms Claude Sonnet on coding benchmarks,https://github.com/itigges22/ATLAS,473,yogthos,268,1 day ago
72,An unstoppable mushroom is tearing through North American forests,https://www.bbc.com/future/article/20260325-an-unstoppable-mushroom-is-tearing-through-north-american-forests,137,1659447091,79,1 day ago
73,"Local Bernstein theory, and lower bounds for Lebesgue constants",https://terrytao.wordpress.com/2026/03/23/local-bernstein-theory-and-lower-bounds-for-lebesgue-constants/,46,jjgreen,8,1 day ago
74,A Faster Alternative to Jq,https://micahkepe.com/blog/jsongrep/,380,pistolario,243,1 day ago
75,AI got the blame for the Iran school bombing. The truth is more worrying,https://www.theguardian.com/news/2026/mar/26/ai-got-the-blame-for-the-iran-school-bombing-the-truth-is-far-more-worrying,377,cptroot,348,21 hours ago
76,Agent-to-agent pair programming,https://axeldelafosse.com/blog/agent-to-agent-pair-programming,130,axldelafosse,57,1 day ago
77,Colibri – chat platform built on the AT Protocol for communities big and small,https://colibri.social/,139,todotask2,98,1 day ago
78,"Moving from GitHub to Codeberg, for lazy people",https://unterwaditzer.net/2025/codeberg.html,627,jslakro,325,2 days ago
79,Personal Encyclopedias,https://whoami.wiki/blog/personal-encyclopedias,883,jrmyphlmn,182,2 days ago
80,Tar: A slop-free alternative to rsync,https://drewdevault.com/2026/03/28/2026-03-28-rsync-without-rsync.html,4,shscs911,1,38 minutes ago
81,Gulf Countries' Frustration with the US Grows as War Wears On,https://www.bloomberg.com/news/articles/2026-03-27/gulf-countries-frustration-with-the-us-grows-as-war-wears-on,38,petethomas,36,10 hours ago
82,Go Naming Conventions: A Practical Guide,https://www.alexedwards.net/blog/go-naming-conventions,26,begoon,,21 hours ago
83,"John Bradley, author of xv, has died",https://voxday.net/2026/03/25/rip-john-bradley/,302,linsomniac,89,1 day ago
84,Show HN: Turbolite – a SQLite VFS serving sub-250ms cold JOIN queries from S3,https://github.com/russellromney/turbolite,172,russellthehippo,42,1 day ago
85,Last gasps of the rent seeking class?,https://geohot.github.io//blog/jekyll/update/2026/02/26/the-last-gasps-of-the-rent-seeking-class.html,160,surprisetalk,151,23 hours ago
86,Show HN: I put an AI agent on a $7/month VPS with IRC as its transport layer,https://georgelarson.me/writing/2026-03-23-nullclaw-doorman/,326,j0rg3,95,1 day ago
87,Show HN: Open Source 'Conductor + Ghostty',https://github.com/stablyai/orca,16,nwparker,8,15 hours ago
88,Show HN: Foundry: a Markdown-first CMS written in Go,https://github.com/sphireinc/Foundry,25,nsayoda,8,20 hours ago
89,Type Construction and Cycle Detection,https://go.dev/blog/type-construction-and-cycle-detection,20,commotionfever,1,14 hours ago
90,"End of ""Chat Control"": EU parliament stops mass surveillance",https://www.patrick-breyer.de/en/end-of-chat-control-eu-parliament-stops-mass-surveillance-in-voting-thriller-paving-the-way-for-genuine-child-protection/,670,amarcheschi,308,2 days ago
